模型/档位		额度花费指数↓	简单／单文件能力	复杂调试与多文件修改	大型项目长任务	完成时间（分钟）
GPT‑5.6 Luna 轻	1.2		73		43			29		15
GPT‑5.6 Luna 中	1.7		80		53			39		22
GPT‑5.6 Luna 高	2.6		84		61			47		30
GPT‑5.6 Luna 极高	3.6		87		67			55		41
GPT‑5.6 Terra 轻	10.2		83		64			54		24
GPT‑5.6 Terra 中	15.3		88		74			67		37
GPT‑5.6 Sol 轻	20.9		91		77			66		43
GPT‑5.6 Terra 高	21.7		91		82			76		50
GPT‑5.5 轻		25.6		81		61			48		28
GPT‑5.6 Terra 极高	29.4		93		86			82		65
GPT‑5.6 Sol 中	30.2		93		84			77		59
GPT‑5.5 中		38.4		86		73			64		43
GPT‑6 Astra 轻	39.5		95		85			78		37
GPT‑5.6 Sol 高	41.9		94		88			84		76
GPT‑5.5 高		51.2		89		80			74		59
GPT‑5.6 Sol 极高	55.8		95		91			89		93
GPT‑6 Astra 中	58.1		97		92			90		57
GPT‑5.5 极高	64.0		90		83			79		76
GPT‑5.6 Terra Ultra	74.2		94		92			92		73*
GPT‑6 Astra 高	81.4		99		97			96		79
GPT‑6 Astra 极高	100		100		100			100		100
GPT‑5.6 Sol Ultra	139.5		97		98			101		110*
GPT‑6 Astra Ultra	209.3		101		106			113		107*

* Ultra 的时间假设任务能部分并行。它使用多个代理，累计花费可能增加，完成时间则取决于任务如何拆分。官方 Ultra 说明
能力分的 100 是参照值，不是满分或成功率。 这次数字与早先不同，是因为改用“GPT‑6 极高”重新归一化；小数只是换算结果，不代表估算达到这一精度。
